graphic card type,resolution (px),CPU cores,RAM size,operating system,drive type,RAM type,CPU clock speed (GHz),CPU model,drive memory size (GB),warranty,screen size,buynow_price,gps,nfc,wifi,lte,bluetooth,wwan,widi,lan,keyboard,illuminated keyboard,touchpad,numeric keyboard,camera,microphone,SD card reader,speakers
0,1,2,0.1333333333333333,0,3,0,1.6,1,0.0176565008025682,1,4,1447.0,0,0,1,0,1,0,0,1,1,0,1,1,1,1,1,1
0,1,2,0.1333333333333333,5,3,2,2.0,5,0.0417335473515248,1,4,2259.0,0,0,1,0,1,0,0,1,1,0,1,1,1,1,1,1
1,1,2,0.1333333333333333,5,1,2,2.3,7,0.1942215088282504,1,4,2299.0,0,0,1,0,1,0,0,1,1,0,1,1,1,1,1,1
1,3,4,0.9333333333333332,0,3,2,2.8,9,0.0449438202247191,1,4,5429.0,0,0,1,0,1,0,0,1,1,1,1,1,1,1,1,1
0,1,4,0.1333333333333333,4,3,0,2.16,2,0.0192616372391653,1,4,1199.0,0,0,1,0,1,0,0,0,1,0,1,1,1,1,1,1
0,3,2,0.6666666666666667,4,1,2,2.5,7,0.1942215088282504,1,4,3299.0,1,1,0,0,0,0,0,0,0,0,1,0,1,1,1,1
0,3,2,0.6666666666666667,4,3,2,2.5,7,0.0417335473515248,1,4,2999.0,0,0,1,0,1,0,0,1,1,0,1,1,1,1,1,1
1,3,4,0.4,4,3,2,2.5,7,0.0898876404494382,1,4,4199.0,0,0,1,0,1,0,0,1,1,1,1,1,1,1,1,1
1,3,2,0.4,4,3,2,2.5,7,0.0898876404494382,1,4,3659.0,0,0,0,0,1,0,0,1,1,1,1,1,1,1,1,1
1,3,4,0.4,4,1,2,2.8,9,0.3948635634028892,1,4,4499.0,0,1,0,0,1,1,1,1,1,1,1,0,1,1,1,1
1,3,2,0.4,5,3,1,2.0,5,0.0417335473515248,1,4,2678.99,0,0,1,0,1,0,0,1,1,0,1,1,1,1,1,1
0,3,2,0.4,4,3,2,2.0,5,0.0417335473515248,1,4,2449.0,0,0,0,0,1,0,0,1,1,0,1,0,1,1,1,0
0,1,2,0.4,4,3,0,2.5,7,0.0192616372391653,0,4,1799.0,0,0,1,0,1,0,0,1,1,0,1,1,1,1,1,1
1,3,4,0.4,4,1,2,1.6,7,0.1942215088282504,1,4,3799.0,0,0,1,0,1,0,0,1,1,1,1,1,1,1,1,1
1,3,4,0.6666666666666667,0,1,2,2.8,9,0.1942215088282504,1,4,5849.0,0,0,0,0,1,0,0,1,1,1,1,0,1,1,1,1
0,3,2,0.6666666666666667,0,1,2,2.4,5,0.1942215088282504,1,4,2199.0,0,0,1,0,1,0,0,1,1,0,1,1,1,1,1,1
0,1,4,0.1333333333333333,5,1,1,1.8,4,0.1942215088282504,1,4,1619.0,0,0,1,0,1,0,0,1,1,0,1,1,1,1,1,1
1,1,2,0.9333333333333332,2,3,1,1.9,5,0.0898876404494382,1,4,3249.01,0,0,1,0,1,0,0,1,1,0,1,1,1,1,1,1
1,3,2,0.6666666666666667,4,3,2,2.3,5,0.0898876404494382,1,4,3249.0,0,0,1,0,1,0,0,1,1,1,1,1,1,1,1,1
0,3,2,0.4,4,1,0,2.0,5,0.1942215088282504,0,4,1725.22,0,0,0,0,1,0,0,1,1,0,1,1,1,1,1,1
0,3,2,0.4,4,4,2,2.5,7,0.2199036918138041,1,4,2849.0,0,0,1,0,1,0,0,1,1,0,1,1,1,1,1,1
0,3,2,0.4,4,1,0,2.3,7,0.1942215088282504,1,4,2399.0,0,0,1,0,1,0,0,1,1,0,1,1,1,1,1,1
1,1,2,0.1333333333333333,0,3,0,2.6,7,0.0192616372391653,1,4,2824.0,0,0,0,0,1,0,0,1,1,0,1,0,1,0,1,1
1,2,4,0.4,4,1,2,2.5,7,0.1942215088282504,1,5,2800.0,0,0,1,0,1,0,0,1,1,0,1,1,1,1,1,1
1,3,2,0.4,4,3,2,2.5,7,0.0176565008025682,1,4,3259.0,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1
1,3,2,0.4,4,1,0,2.2,7,0.1942215088282504,0,4,2179.37,0,0,0,0,1,0,0,1,1,0,1,0,1,1,1,1
1,1,2,0.9333333333333332,4,3,0,2.6,7,0.0449438202247191,0,4,2775.94,0,0,0,0,1,0,0,1,1,0,1,1,1,1,1,1
1,3,2,0.1333333333333333,5,3,1,2.0,5,0.0176565008025682,1,4,2379.0,0,0,1,0,1,0,0,1,1,0,1,1,1,1,1,1
0,3,2,0.4,5,3,2,2.7,9,0.0449438202247191,1,1,6169.0,0,0,0,0,1,0,0,1,1,0,1,0,1,1,1,1
0,3,2,2.0,5,1,2,2.5,7,0.1942215088282504,1,4,4149.0,0,1,0,0,0,0,0,1,1,0,1,0,1,0,1,1
1,3,4,0.4,4,3,2,2.3,7,0.0898876404494382,1,5,4874.0,0,1,0,0,1,0,1,1,1,1,1,1,1,1,1,1
1,3,2,0.4,4,4,0,2.6,9,0.3202247191011236,1,5,3299.0,0,0,0,0,1,0,0,1,1,0,1,1,1,1,1,1
1,3,4,0.9333333333333332,4,4,2,2.8,9,0.2199036918138041,1,4,4399.0,0,0,0,0,1,0,1,1,1,1,1,1,1,1,1,1
0,1,2,0.4,5,3,2,2.5,7,0.0449438202247191,1,1,4899.0,0,0,1,0,0,0,0,1,1,1,1,0,1,1,1,1
1,3,4,2.0,4,4,2,2.6,9,0.2945425361155698,1,4,5549.0,0,0,1,0,1,0,0,1,1,1,1,1,1,1,1,1
1,3,4,2.0,4,3,2,2.5,7,0.0939004815409309,1,4,8186.0,0,0,0,0,1,0,0,1,1,1,1,0,1,1,0,1
0,1,2,0.0,4,3,0,1.6,1,0.0,1,0,949.0,0,0,0,0,1,0,0,0,1,0,1,0,1,1,1,0
1,1,2,0.1333333333333333,4,1,0,1.7000000000000002,5,0.0939004815409309,0,4,1419.0,0,0,1,0,1,0,0,1,1,0,1,1,1,1,1,1
1,3,2,0.1333333333333333,4,1,2,2.0,5,0.1942215088282504,1,4,2199.0,1,1,0,0,1,0,0,0,1,0,1,1,1,1,1,1
1,3,2,0.9333333333333332,5,4,2,2.5,7,0.2199036918138041,1,3,4895.65,0,0,1,0,1,0,1,1,1,1,1,0,1,1,1,1
0,3,2,0.4,4,3,2,2.5,7,0.0898876404494382,1,4,3699.0,1,1,0,0,0,0,0,0,0,0,1,0,1,1,1,1
0,3,2,2.0,5,4,2,2.5,7,0.2945425361155698,1,4,4779.0,0,1,0,0,0,0,0,1,1,0,1,0,1,0,1,1
0,3,4,0.4,4,3,2,2.5,7,0.0963081861958266,1,4,4679.0,0,1,0,0,1,0,1,1,1,1,1,0,1,1,0,1
1,3,4,0.4,4,2,2,2.6,9,0.1942215088282504,1,5,3899.0,0,0,1,0,1,0,0,1,1,0,1,1,1,1,1,1
