iter	RMSE
0	1554.10248
1	1444.924895
2	1346.298724
3	1262.105384
4	1181.373816
5	1117.312655
6	1050.693005
7	991.6660952
8	939.6360354
9	897.6085676
10	854.5586888
11	817.8296168
12	783.5869426
13	752.7938188
14	728.8487042
15	703.3012892
16	682.0161448
17	661.3596089
18	645.2394745
19	631.0417364
20	616.5090149
21	602.5602824
22	592.3039581
23	582.5440829
24	572.0977395
25	561.7114359
26	553.157043
27	545.7299697
28	536.2955802
29	529.2902213
30	521.326804
31	516.6266742
32	508.8522983
33	502.7699755
34	495.8391166
35	491.8184373
36	487.9099578
37	483.0349872
38	477.5329792
39	473.4522275
40	470.07003
41	465.7596824
42	462.3779323
43	459.1917871
44	455.4038749
45	451.5064818
46	448.2081817
47	445.0724657
48	442.5201808
49	440.317079
50	437.2266817
51	432.5816965
52	428.6603117
53	425.8903522
54	421.8015771
55	420.0416301
56	417.5595141
57	415.4196572
58	413.8817222
59	410.5190022
60	408.4874431
61	405.4159208
62	403.5946346
63	401.8187873
64	399.5295682
65	397.6182533
66	395.9037948
67	392.8008454
68	390.9140401
69	388.9339694
70	387.6708507
71	385.3003997
72	383.2847372
73	381.016504
74	379.7995098
75	379.5403135
76	376.5215727
77	374.0394187
78	373.284008
79	371.542242
80	370.4779729
81	369.1593504
82	368.0815867
83	366.7368105
84	364.782078
85	363.7878335
86	362.0911332
87	361.1107268
88	359.7753237
89	358.4340967
90	357.467382
91	356.1892228
92	355.052543
93	353.4788763
94	351.9170965
95	351.4506022
96	350.1835479
97	349.3102277
98	347.7654931
99	346.8530129
