iter	Passed	Remaining
0	2	270
1	15	743
2	27	886
3	38	932
4	50	967
5	62	982
6	74	992
7	87	1004
8	99	1003
9	112	1012
10	127	1028
11	139	1026
12	152	1022
13	165	1018
14	172	979
15	184	970
16	197	966
17	210	958
18	223	952
19	228	912
20	243	916
21	258	917
22	272	911
23	285	903
24	297	891
25	309	881
26	323	873
27	335	863
28	349	855
29	363	847
30	376	837
31	387	822
32	398	809
33	410	796
34	421	782
35	432	769
36	444	757
37	456	744
38	468	733
39	483	724
40	496	713
41	509	703
42	521	691
43	536	683
44	550	672
45	563	661
46	574	647
47	584	633
48	595	619
49	607	607
50	618	593
51	629	580
52	640	567
53	651	554
54	661	541
55	672	528
56	682	515
57	694	503
58	706	491
59	718	479
60	729	466
61	740	453
62	752	442
63	763	429
64	774	416
65	784	404
66	795	391
67	806	379
68	818	367
69	828	355
70	839	342
71	849	330
72	860	318
73	871	306
74	881	293
75	883	278
76	894	267
77	904	255
78	915	243
79	926	231
80	938	220
81	956	209
82	972	199
83	985	187
84	1022	180
85	1039	169
86	1057	158
87	1079	147
88	1097	135
89	1116	124
90	1144	113
91	1162	101
92	1176	88
93	1192	76
94	1210	63
95	1225	51
96	1239	38
97	1251	25
98	1263	12
99	1280	0
