graphic card type,resolution (px),CPU cores,RAM size,operating system,drive type,RAM type,CPU clock speed (GHz),CPU model,drive memory size (GB),warranty,screen size,buynow_price,bluetooth,wifi,widi,nfc,lan,gps,lte,wwan,keyboard,touchpad,numeric keyboard,illuminated keyboard,speakers,SD card reader,microphone,camera
1,3,4,32,0,4,2,2.6,9,0.12219101123595505,1,5,4999.0,1,0,0,0,1,0,0,0,1,1,1,1,1,1,1,1
1,1,4,8,4,3,0,2.4,9,0.02247191011235955,0,4,2649.0,1,1,0,0,1,0,0,0,1,1,1,0,1,1,1,1
0,5,4,8,4,3,2,1.2,0,0.02247191011235955,1,1,4499.0,1,1,0,0,0,0,0,0,1,1,0,1,1,1,1,1
0,1,2,8,4,1,2,2.0,5,0.0971107544141252,1,4,2099.0,1,1,0,0,1,0,0,0,1,1,1,0,1,1,1,1
1,3,4,8,3,1,0,2.4,9,0.0971107544141252,1,5,2699.0,1,1,0,0,1,0,0,0,1,1,1,1,1,1,1,1
1,3,4,8,0,3,2,2.5,7,0.02247191011235955,1,4,3199.0,1,1,0,0,1,0,0,0,1,1,1,1,1,1,1,1
0,3,2,8,4,3,2,2.5,7,0.02247191011235955,1,4,3199.0,1,1,0,0,1,0,0,0,1,1,1,0,1,1,1,1
1,3,4,8,4,4,2,2.6,9,0.10995184590690209,1,4,3849.0,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1
1,3,2,12,4,4,2,2.0,5,0.12118780096308186,1,4,3199.0,1,1,0,0,1,0,0,0,1,1,1,0,1,1,1,1
0,3,2,8,4,3,0,2.4,9,0.02247191011235955,0,4,2452.0,1,1,0,0,1,0,0,0,1,1,1,0,1,1,1,1
1,1,2,8,4,3,0,2.6,7,0.00882825040128411,1,4,3353.0,1,0,0,0,1,0,0,0,1,1,0,0,1,1,0,1
1,3,4,8,0,4,2,2.8,9,0.12279293739967898,1,4,5233.0,1,1,0,0,1,0,0,0,1,1,1,1,1,1,1,1
1,1,2,4,2,3,1,1.9,5,0.04494382022471911,1,4,2549.01,1,1,0,0,1,0,0,0,1,1,1,0,1,1,1,1
0,3,2,8,4,3,1,2.6,9,0.021869983948635634,1,3,4660.0,1,1,0,0,1,0,0,0,1,1,0,1,1,1,1,1
1,3,4,4,0,4,2,2.5,7,0.10995184590690209,1,4,3637.0,1,1,0,0,1,0,0,0,1,1,1,1,1,1,1,1
0,3,2,12,0,1,2,2.0,5,0.0971107544141252,1,4,2651.0,1,0,0,0,1,0,0,0,1,1,0,0,0,1,1,1
1,1,2,8,4,1,0,1.9,5,0.0971107544141252,0,4,1694.0,1,1,0,0,1,0,0,0,1,1,1,0,1,1,1,1
1,3,4,8,4,3,0,2.5,9,0.02247191011235955,1,4,3489.0,1,1,0,0,1,0,0,0,1,1,1,0,1,1,1,1
